seed,schedule,phase,block_position,requested_goal,local_offset,truth_table_class,raw_hard_signature,majority_agreement,tuple_consistency,pure_goal
577,p_q_y,component_2_Q,2,Q,13,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,p_q_y,component_2_Q,2,Q,161,Q,1001100110011001100110011001100110011001100110011001100110011001,0.75,1.0,Q
577,p_q_y,component_2_Q,2,Q,17,raw_codeword_specific_composite,0000000000000000000000000000000011111101111110011101100111111001,0.75,0.875,
577,p_q_y,component_2_Q,2,Q,2,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,p_q_y,component_2_Q,2,Q,222,Q,1001100110011001100110011001100110011001100110011001100110011001,0.75,1.0,Q
577,p_q_y,component_2_Q,2,Q,24,raw_codeword_specific_composite,0000000000000000000000000000000011011001111110011001100111111001,0.734375,0.921875,
577,p_q_y,component_2_Q,2,Q,256,Q,1001100110011001100110011001100110011001100110011001100110011001,0.75,1.0,Q
577,p_q_y,component_2_Q,2,Q,3,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,p_q_y,component_2_Q,2,Q,33,raw_codeword_specific_composite,1001100010011001000100001001000111111111111111111111111111111111,0.734375,0.921875,
577,p_q_y,component_2_Q,2,Q,4,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,p_q_y,component_2_Q,2,Q,45,raw_codeword_specific_composite,0000000010011001000000001001000010011001100110011001100110011001,0.71875,0.90625,
577,p_q_y,component_2_Q,2,Q,5,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,p_q_y,component_2_Q,2,Q,62,Q,1001100110011001100110011001100110011001100110011001100110011001,0.75,1.0,Q
577,p_q_y,component_2_Q,2,Q,7,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,p_q_y,component_2_Q,2,Q,85,Q,1001100110011001100110011001100110011001100110011001100110011001,0.75,1.0,Q
577,p_q_y,component_2_Q,2,Q,9,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,p_q_y,component_3_Y,3,Y,0,Q,1001100110011001100110011001100110011001100110011001100110011001,0.75,1.0,Q
577,p_q_y,component_3_Y,3,Y,1,Q,1001100110011001100110011001100110011001100110011001100110011001,0.75,1.0,Q
577,p_q_y,component_3_Y,3,Y,117,raw_codeword_specific_composite,0001111111111101111100001001110100001001100100001001000000001101,0.5625,0.90625,
577,p_q_y,component_3_Y,3,Y,128,raw_codeword_specific_composite,0000111111110001111100000000110100001101101100001011000000001101,0.6875,0.90625,Y
577,p_q_y,component_3_Y,3,Y,13,raw_codeword_specific_composite,1001100110011001100110011001100110011001100110011000100010001001,0.703125,0.953125,Q
577,p_q_y,component_3_Y,3,Y,161,Y,0000111111110000111100000000111100001111111100001111000000001111,0.75,1.0,Y
577,p_q_y,component_3_Y,3,Y,17,raw_codeword_specific_composite,1001100110011001100110011001100110001000000000000000000000001000,0.546875,0.953125,
577,p_q_y,component_3_Y,3,Y,2,Q,1001100110011001100110011001100110011001100110011001100110011001,0.75,1.0,Q
577,p_q_y,component_3_Y,3,Y,222,Y,0000111111110000111100000000111100001111111100001111000000001111,0.75,1.0,Y
577,p_q_y,component_3_Y,3,Y,24,raw_codeword_specific_composite,1111100111111101111111011111111110011001000100011001000100011001,0.5,0.875,
577,p_q_y,component_3_Y,3,Y,256,Y,0000111111110000111100000000111100001111111100001111000000001111,0.75,1.0,Y
577,p_q_y,component_3_Y,3,Y,3,Q,1001100110011001100110011001100110011001100110011001100110011001,0.75,1.0,Q
577,p_q_y,component_3_Y,3,Y,33,raw_codeword_specific_composite,1111101111111101111111111111111110001001000000011001000100001001,0.421875,0.890625,
577,p_q_y,component_3_Y,3,Y,4,Q,1001100110011001100110011001100110011001100110011001100110011001,0.75,1.0,Q
577,p_q_y,component_3_Y,3,Y,45,raw_codeword_specific_composite,1011101110011001101110011001110110001001000000011001000000001001,0.5625,0.875,
577,p_q_y,component_3_Y,3,Y,5,Q,1001100110011001100110011001100110011001100110011001100110011001,0.75,1.0,Q
577,p_q_y,component_3_Y,3,Y,62,raw_codeword_specific_composite,1101110111111101110110011001110100001001100110011001000000001001,0.546875,0.890625,
577,p_q_y,component_3_Y,3,Y,7,Q,1001100110011001100110011001100110011001100110011001100110011001,0.75,1.0,Q
577,p_q_y,component_3_Y,3,Y,85,raw_codeword_specific_composite,1101111111111101111110011001110100001001100110011001000000001101,0.53125,0.90625,
577,p_q_y,component_3_Y,3,Y,9,Q,1001100110011001100110011001100110011001100110011001100110011001,0.75,1.0,Q
577,p_q_y,washout,4,,0,Y,0000111111110000111100000000111100001111111100001111000000001111,0.75,1.0,Y
577,p_q_y,washout,4,,1,Y,0000111111110000111100000000111100001111111100001111000000001111,0.75,1.0,Y
577,p_q_y,washout,4,,117,raw_codeword_specific_composite,0000110111010000111100000000111100001111111100001111000000001111,0.78125,0.96875,Y
577,p_q_y,washout,4,,128,raw_codeword_specific_composite,0000110111010000111100000000111100001111111100001111000000001111,0.78125,0.96875,Y
577,p_q_y,washout,4,,13,Y,0000111111110000111100000000111100001111111100001111000000001111,0.75,1.0,Y
577,p_q_y,washout,4,,161,raw_codeword_specific_composite,0000110111010000111100000000111100001111111100001111000000001111,0.78125,0.96875,Y
577,p_q_y,washout,4,,17,Y,0000111111110000111100000000111100001111111100001111000000001111,0.75,1.0,Y
577,p_q_y,washout,4,,2,Y,0000111111110000111100000000111100001111111100001111000000001111,0.75,1.0,Y
577,p_q_y,washout,4,,222,raw_codeword_specific_composite,0000110111010000111100000000111100001111111100001111000000001111,0.78125,0.96875,Y
577,p_q_y,washout,4,,24,raw_codeword_specific_composite,0000110111110000111100000000111100001111111100001111000000001111,0.765625,0.984375,Y
577,p_q_y,washout,4,,256,raw_codeword_specific_composite,0000110111010000111100000000110100001111111100001111000000001111,0.796875,0.953125,Y
577,p_q_y,washout,4,,3,Y,0000111111110000111100000000111100001111111100001111000000001111,0.75,1.0,Y
577,p_q_y,washout,4,,33,raw_codeword_specific_composite,0000110111110000111100000000111100001111111100001111000000001111,0.765625,0.984375,Y
577,p_q_y,washout,4,,4,Y,0000111111110000111100000000111100001111111100001111000000001111,0.75,1.0,Y
577,p_q_y,washout,4,,45,raw_codeword_specific_composite,0000110111110000111100000000111100001111111100001111000000001111,0.765625,0.984375,Y
577,p_q_y,washout,4,,5,Y,0000111111110000111100000000111100001111111100001111000000001111,0.75,1.0,Y
577,p_q_y,washout,4,,62,raw_codeword_specific_composite,0000110111110000111100000000111100001111111100001111000000001111,0.765625,0.984375,Y
577,p_q_y,washout,4,,7,Y,0000111111110000111100000000111100001111111100001111000000001111,0.75,1.0,Y
577,p_q_y,washout,4,,85,raw_codeword_specific_composite,0000110111110000111100000000111100001111111100001111000000001111,0.765625,0.984375,Y
577,p_q_y,washout,4,,9,Y,0000111111110000111100000000111100001111111100001111000000001111,0.75,1.0,Y
577,p_y_q,component_1_P,1,P,0,raw_codeword_specific_composite,1011001010111010101000101011101010100010101000000010000000100000,0.40625,0.65625,
577,p_y_q,component_1_P,1,P,1,raw_codeword_specific_composite,1011001010110010001000101010000010111010101100100010000000100000,0.453125,0.640625,
577,p_y_q,component_1_P,1,P,117,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,p_y_q,component_1_P,1,P,128,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,p_y_q,component_1_P,1,P,13,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,p_y_q,component_1_P,1,P,161,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,p_y_q,component_1_P,1,P,17,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,p_y_q,component_1_P,1,P,2,raw_codeword_specific_composite,1010001000000000001000000000000010111011101110101011001010100010,0.59375,0.71875,
577,p_y_q,component_1_P,1,P,222,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,p_y_q,component_1_P,1,P,24,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,p_y_q,component_1_P,1,P,256,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,p_y_q,component_1_P,1,P,3,raw_codeword_specific_composite,1010000000000000000000000000000011111011101111101011101111110011,0.640625,0.859375,
577,p_y_q,component_1_P,1,P,33,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,p_y_q,component_1_P,1,P,4,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,p_y_q,component_1_P,1,P,45,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,p_y_q,component_1_P,1,P,5,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,p_y_q,component_1_P,1,P,62,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,p_y_q,component_1_P,1,P,7,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,p_y_q,component_1_P,1,P,85,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,p_y_q,component_1_P,1,P,9,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,p_y_q,component_2_Y,2,Y,0,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,p_y_q,component_2_Y,2,Y,1,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,p_y_q,component_2_Y,2,Y,117,Y,0000111111110000111100000000111100001111111100001111000000001111,0.75,1.0,Y
577,p_y_q,component_2_Y,2,Y,128,Y,0000111111110000111100000000111100001111111100001111000000001111,0.75,1.0,Y
577,p_y_q,component_2_Y,2,Y,13,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,p_y_q,component_2_Y,2,Y,161,Y,0000111111110000111100000000111100001111111100001111000000001111,0.75,1.0,Y
577,p_y_q,component_2_Y,2,Y,17,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,p_y_q,component_2_Y,2,Y,2,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,p_y_q,component_2_Y,2,Y,222,Y,0000111111110000111100000000111100001111111100001111000000001111,0.75,1.0,Y
577,p_y_q,component_2_Y,2,Y,24,raw_codeword_specific_composite,0000000000000000000000000000000011111111111111111111101111111111,0.765625,0.984375,P
577,p_y_q,component_2_Y,2,Y,256,Y,0000111111110000111100000000111100001111111100001111000000001111,0.75,1.0,Y
577,p_y_q,component_2_Y,2,Y,3,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,p_y_q,component_2_Y,2,Y,33,raw_codeword_specific_composite,1111111111111010111110101111101011111111111111111111111111111111,0.5625,0.90625,
577,p_y_q,component_2_Y,2,Y,4,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,p_y_q,component_2_Y,2,Y,45,raw_codeword_specific_composite,1111111011110000111100001110100000000000101100001100000000000000,0.46875,0.75,
577,p_y_q,component_2_Y,2,Y,5,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,p_y_q,component_2_Y,2,Y,62,raw_codeword_specific_composite,1111111111110000111100001111111101111111111100001111000000101111,0.59375,0.8125,
577,p_y_q,component_2_Y,2,Y,7,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,p_y_q,component_2_Y,2,Y,85,Y,0000111111110000111100000000111100001111111100001111000000001111,0.75,1.0,Y
577,p_y_q,component_2_Y,2,Y,9,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,p_y_q,component_3_Q,3,Q,0,Y,0000111111110000111100000000111100001111111100001111000000001111,0.75,1.0,Y
577,p_y_q,component_3_Q,3,Q,1,Y,0000111111110000111100000000111100001111111100001111000000001111,0.75,1.0,Y
577,p_y_q,component_3_Q,3,Q,117,Q,1001100110011001100110011001100110011001100110011001100110011001,0.75,1.0,Q
577,p_y_q,component_3_Q,3,Q,128,Q,1001100110011001100110011001100110011001100110011001100110011001,0.75,1.0,Q
577,p_y_q,component_3_Q,3,Q,13,raw_codeword_specific_composite,0000111111110000111100000000111100001101111100001101000000001101,0.703125,0.953125,Y
577,p_y_q,component_3_Q,3,Q,161,Q,1001100110011001100110011001100110011001100110011001100110011001,0.75,1.0,Q
577,p_y_q,component_3_Q,3,Q,17,raw_codeword_specific_composite,0000111111110000111100000000111100001101111100001101000000001111,0.71875,0.96875,Y
577,p_y_q,component_3_Q,3,Q,2,Y,0000111111110000111100000000111100001111111100001111000000001111,0.75,1.0,Y
577,p_y_q,component_3_Q,3,Q,222,Q,1001100110011001100110011001100110011001100110011001100110011001,0.75,1.0,Q
577,p_y_q,component_3_Q,3,Q,24,raw_codeword_specific_composite,0000111111111011111110010000111100001001111100001101000000001111,0.625,0.875,
577,p_y_q,component_3_Q,3,Q,256,Q,1001100110011001100110011001100110011001100110011001100110011001,0.75,1.0,Q
577,p_y_q,component_3_Q,3,Q,3,Y,0000111111110000111100000000111100001111111100001111000000001111,0.75,1.0,Y
577,p_y_q,component_3_Q,3,Q,33,raw_codeword_specific_composite,1000111111111000111110000000111100001001110100001101000000000000,0.578125,0.890625,
577,p_y_q,component_3_Q,3,Q,4,Y,0000111111110000111100000000111100001111111100001111000000001111,0.75,1.0,Y
577,p_y_q,component_3_Q,3,Q,45,raw_codeword_specific_composite,1000111111111001111110011001101100001001110100001001000000001011,0.5625,0.9375,
577,p_y_q,component_3_Q,3,Q,5,Y,0000111111110000111100000000111100001111111100001111000000001111,0.75,1.0,Y
577,p_y_q,component_3_Q,3,Q,62,raw_codeword_specific_composite,1001100111111001100110011001100100001001100110001001100110001001,0.65625,0.90625,Q
577,p_y_q,component_3_Q,3,Q,7,Y,0000111111110000111100000000111100001111111100001111000000001111,0.75,1.0,Y
577,p_y_q,component_3_Q,3,Q,85,Q,1001100110011001100110011001100110011001100110011001100110011001,0.75,1.0,Q
577,p_y_q,component_3_Q,3,Q,9,Y,0000111111110000111100000000111100001111111100001111000000001111,0.75,1.0,Y
577,p_y_q,washout,4,,0,Q,1001100110011001100110011001100110011001100110011001100110011001,0.75,1.0,Q
577,p_y_q,washout,4,,1,Q,1001100110011001100110011001100110011001100110011001100110011001,0.75,1.0,Q
577,p_y_q,washout,4,,117,Q,1001100110011001100110011001100110011001100110011001100110011001,0.75,1.0,Q
577,p_y_q,washout,4,,128,Q,1001100110011001100110011001100110011001100110011001100110011001,0.75,1.0,Q
577,p_y_q,washout,4,,13,Q,1001100110011001100110011001100110011001100110011001100110011001,0.75,1.0,Q
577,p_y_q,washout,4,,161,Q,1001100110011001100110011001100110011001100110011001100110011001,0.75,1.0,Q
577,p_y_q,washout,4,,17,Q,1001100110011001100110011001100110011001100110011001100110011001,0.75,1.0,Q
577,p_y_q,washout,4,,2,Q,1001100110011001100110011001100110011001100110011001100110011001,0.75,1.0,Q
577,p_y_q,washout,4,,222,Q,1001100110011001100110011001100110011001100110011001100110011001,0.75,1.0,Q
577,p_y_q,washout,4,,24,Q,1001100110011001100110011001100110011001100110011001100110011001,0.75,1.0,Q
577,p_y_q,washout,4,,256,Q,1001100110011001100110011001100110011001100110011001100110011001,0.75,1.0,Q
577,p_y_q,washout,4,,3,Q,1001100110011001100110011001100110011001100110011001100110011001,0.75,1.0,Q
577,p_y_q,washout,4,,33,Q,1001100110011001100110011001100110011001100110011001100110011001,0.75,1.0,Q
577,p_y_q,washout,4,,4,Q,1001100110011001100110011001100110011001100110011001100110011001,0.75,1.0,Q
577,p_y_q,washout,4,,45,Q,1001100110011001100110011001100110011001100110011001100110011001,0.75,1.0,Q
577,p_y_q,washout,4,,5,Q,1001100110011001100110011001100110011001100110011001100110011001,0.75,1.0,Q
577,p_y_q,washout,4,,62,Q,1001100110011001100110011001100110011001100110011001100110011001,0.75,1.0,Q
577,p_y_q,washout,4,,7,Q,1001100110011001100110011001100110011001100110011001100110011001,0.75,1.0,Q
577,p_y_q,washout,4,,85,Q,1001100110011001100110011001100110011001100110011001100110011001,0.75,1.0,Q
577,p_y_q,washout,4,,9,Q,1001100110011001100110011001100110011001100110011001100110011001,0.75,1.0,Q
577,q_p_y,component_1_Q,1,Q,0,raw_codeword_specific_composite,1011001010111010101000101011101010100010101000000010000000100000,0.40625,0.65625,
577,q_p_y,component_1_Q,1,Q,1,raw_codeword_specific_composite,1011101011111011101110101011101010101010101100000010000000100000,0.421875,0.703125,
577,q_p_y,component_1_Q,1,Q,117,Q,1001100110011001100110011001100110011001100110011001100110011001,0.75,1.0,Q
577,q_p_y,component_1_Q,1,Q,128,Q,1001100110011001100110011001100110011001100110011001100110011001,0.75,1.0,Q
577,q_p_y,component_1_Q,1,Q,13,raw_codeword_specific_composite,1001100011011001100110001001100110011001100110011001100110011001,0.734375,0.953125,Q
577,q_p_y,component_1_Q,1,Q,161,Q,1001100110011001100110011001100110011001100110011001100110011001,0.75,1.0,Q
577,q_p_y,component_1_Q,1,Q,17,Q,1001100110011001100110011001100110011001100110011001100110011001,0.75,1.0,Q
577,q_p_y,component_1_Q,1,Q,2,raw_codeword_specific_composite,1011100011111011101110101011101010101000101110000000000010001000,0.46875,0.6875,
577,q_p_y,component_1_Q,1,Q,222,Q,1001100110011001100110011001100110011001100110011001100110011001,0.75,1.0,Q
577,q_p_y,component_1_Q,1,Q,24,Q,1001100110011001100110011001100110011001100110011001100110011001,0.75,1.0,Q
577,q_p_y,component_1_Q,1,Q,256,Q,1001100110011001100110011001100110011001100110011001100110011001,0.75,1.0,Q
577,q_p_y,component_1_Q,1,Q,3,raw_codeword_specific_composite,1001100011111001100110001011100110001000101110001000000010011000,0.609375,0.796875,
577,q_p_y,component_1_Q,1,Q,33,Q,1001100110011001100110011001100110011001100110011001100110011001,0.75,1.0,Q
577,q_p_y,component_1_Q,1,Q,4,raw_codeword_specific_composite,1001100011111001100010001101100110001000100110001000100010011000,0.59375,0.8125,
577,q_p_y,component_1_Q,1,Q,45,Q,1001100110011001100110011001100110011001100110011001100110011001,0.75,1.0,Q
577,q_p_y,component_1_Q,1,Q,5,raw_codeword_specific_composite,1001100011011001100010001101100110001000100110001000100010011000,0.609375,0.828125,
577,q_p_y,component_1_Q,1,Q,62,Q,1001100110011001100110011001100110011001100110011001100110011001,0.75,1.0,Q
577,q_p_y,component_1_Q,1,Q,7,raw_codeword_specific_composite,1001100011011001100010001101110110001000100110001001100011011001,0.609375,0.828125,
577,q_p_y,component_1_Q,1,Q,85,Q,1001100110011001100110011001100110011001100110011001100110011001,0.75,1.0,Q
577,q_p_y,component_1_Q,1,Q,9,raw_codeword_specific_composite,1001100011011001100110001101110110001000100110011001100011011001,0.640625,0.859375,
577,q_p_y,component_2_P,2,P,0,Q,1001100110011001100110011001100110011001100110011001100110011001,0.75,1.0,Q
577,q_p_y,component_2_P,2,P,1,Q,1001100110011001100110011001100110011001100110011001100110011001,0.75,1.0,Q
577,q_p_y,component_2_P,2,P,117,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,q_p_y,component_2_P,2,P,128,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,q_p_y,component_2_P,2,P,13,raw_codeword_specific_composite,1001100110011001100110011001100111011101100110011101110111011101,0.75,0.90625,Q
577,q_p_y,component_2_P,2,P,161,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,q_p_y,component_2_P,2,P,17,raw_codeword_specific_composite,1001100110010001100110011001100111011101110111011111111111011101,0.765625,0.890625,
577,q_p_y,component_2_P,2,P,2,Q,1001100110011001100110011001100110011001100110011001100110011001,0.75,1.0,Q
577,q_p_y,component_2_P,2,P,222,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,q_p_y,component_2_P,2,P,24,raw_codeword_specific_composite,0000000100000000000100010001000111111111110111011111111111011101,0.765625,0.859375,
577,q_p_y,component_2_P,2,P,256,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,q_p_y,component_2_P,2,P,3,Q,1001100110011001100110011001100110011001100110011001100110011001,0.75,1.0,Q
577,q_p_y,component_2_P,2,P,33,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,q_p_y,component_2_P,2,P,4,Q,1001100110011001100110011001100110011001100110011001100110011001,0.75,1.0,Q
577,q_p_y,component_2_P,2,P,45,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,q_p_y,component_2_P,2,P,5,Q,1001100110011001100110011001100110011001100110011001100110011001,0.75,1.0,Q
577,q_p_y,component_2_P,2,P,62,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,q_p_y,component_2_P,2,P,7,Q,1001100110011001100110011001100110011001100110011001100110011001,0.75,1.0,Q
577,q_p_y,component_2_P,2,P,85,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,q_p_y,component_2_P,2,P,9,Q,1001100110011001100110011001100110011001100110011001100110011001,0.75,1.0,Q
577,q_p_y,component_3_Y,3,Y,0,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,q_p_y,component_3_Y,3,Y,1,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,q_p_y,component_3_Y,3,Y,117,Y,0000111111110000111100000000111100001111111100001111000000001111,0.75,1.0,Y
577,q_p_y,component_3_Y,3,Y,128,Y,0000111111110000111100000000111100001111111100001111000000001111,0.75,1.0,Y
577,q_p_y,component_3_Y,3,Y,13,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,q_p_y,component_3_Y,3,Y,161,Y,0000111111110000111100000000111100001111111100001111000000001111,0.75,1.0,Y
577,q_p_y,component_3_Y,3,Y,17,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,q_p_y,component_3_Y,3,Y,2,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,q_p_y,component_3_Y,3,Y,222,Y,0000111111110000111100000000111100001111111100001111000000001111,0.75,1.0,Y
577,q_p_y,component_3_Y,3,Y,24,raw_codeword_specific_composite,0000000000100000000000000000000011111111111111111010101011111111,0.703125,0.921875,P
577,q_p_y,component_3_Y,3,Y,256,Y,0000111111110000111100000000111100001111111100001111000000001111,0.75,1.0,Y
577,q_p_y,component_3_Y,3,Y,3,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,q_p_y,component_3_Y,3,Y,33,raw_codeword_specific_composite,0110011001100110011001100110011011101110111001101100111000100110,0.328125,0.890625,
577,q_p_y,component_3_Y,3,Y,4,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,q_p_y,component_3_Y,3,Y,45,raw_codeword_specific_composite,0111011011110110011011110110011101000100011101000100010000000100,0.296875,0.796875,
577,q_p_y,component_3_Y,3,Y,5,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,q_p_y,component_3_Y,3,Y,62,raw_codeword_specific_composite,0010111011110000010011110000111101001111111100000000000000000111,0.546875,0.765625,
577,q_p_y,component_3_Y,3,Y,7,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,q_p_y,component_3_Y,3,Y,85,raw_codeword_specific_composite,0000111111110000010101010000111100001111111100001101000000001111,0.703125,0.921875,Y
577,q_p_y,component_3_Y,3,Y,9,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,q_p_y,washout,4,,0,Y,0000111111110000111100000000111100001111111100001111000000001111,0.75,1.0,Y
577,q_p_y,washout,4,,1,Y,0000111111110000111100000000111100001111111100001111000000001111,0.75,1.0,Y
577,q_p_y,washout,4,,117,Y,0000111111110000111100000000111100001111111100001111000000001111,0.75,1.0,Y
577,q_p_y,washout,4,,128,Y,0000111111110000111100000000111100001111111100001111000000001111,0.75,1.0,Y
577,q_p_y,washout,4,,13,Y,0000111111110000111100000000111100001111111100001111000000001111,0.75,1.0,Y
577,q_p_y,washout,4,,161,Y,0000111111110000111100000000111100001111111100001111000000001111,0.75,1.0,Y
577,q_p_y,washout,4,,17,Y,0000111111110000111100000000111100001111111100001111000000001111,0.75,1.0,Y
577,q_p_y,washout,4,,2,Y,0000111111110000111100000000111100001111111100001111000000001111,0.75,1.0,Y
577,q_p_y,washout,4,,222,Y,0000111111110000111100000000111100001111111100001111000000001111,0.75,1.0,Y
577,q_p_y,washout,4,,24,Y,0000111111110000111100000000111100001111111100001111000000001111,0.75,1.0,Y
577,q_p_y,washout,4,,256,Y,0000111111110000111100000000111100001111111100001111000000001111,0.75,1.0,Y
577,q_p_y,washout,4,,3,Y,0000111111110000111100000000111100001111111100001111000000001111,0.75,1.0,Y
577,q_p_y,washout,4,,33,Y,0000111111110000111100000000111100001111111100001111000000001111,0.75,1.0,Y
577,q_p_y,washout,4,,4,Y,0000111111110000111100000000111100001111111100001111000000001111,0.75,1.0,Y
