inference_status,run_id,seed,cohort,q_only_error_count,step,examples_seen,cumulative_q_only_presentations,unique_q_only_rows_seen,seen_active_codewords,active_codeword_coverage,signature,tuple_consistency,codeword_consistency,nuisance_consistency,stable_gate,taxonomy,q_only_diagnostic_accuracy,common_iid_target_accuracy,q_only_factorial_accuracy,q_only_target_probability,q_only_seen_accuracy,q_only_seen_target_probability,q_only_unseen_accuracy,q_only_unseen_target_probability,seen_minus_unseen_probability,behavior_P,behavior_Q,behavior_Y,causal_P,causal_Q,causal_Y,probe_P,probe_Q,probe_Y,tuple_-+-_positive_rate,tuple_-+-_target_probability,tuple_+-+_positive_rate,tuple_+-+_target_probability,first_q_only_presentation_step,all_unique_q_only_seen_step,design_panel,pure_Y,pure_Q,pure_P
adaptive_exploratory_posthoc_paired_support_intervention,e0d41913951792bfc041,23,original,0,8192,2048000,0,0,0,0.0,113,0.969970703125,0.9765625,0.989013671875,1,stable gate 113,0.1236,1.0,0.119140625,0.12654007478711313,,,0.119140625,0.12654007478711313,,0.280029296875,0.720458984375,0.779541015625,0.27978515625,0.71990966796875,0.7795654296875,0.98828125,0.989990234375,0.998046875,0.908203125,0.10115032354522768,0.146484375,0.1519298260289986,,0,primary_registered,0,0,0
adaptive_exploratory_posthoc_paired_support_intervention,d825229c82eac6d8952d,23,original,2,8192,2048000,410,2,2,0.03125,113,0.892333984375,0.8984375,0.973388671875,0,"modal 113, unstable",0.4249,1.0,0.4296875,0.4276922689180246,0.5,0.5442112969363162,0.4274193548387097,0.42393359059485386,0.12027770634146234,0.357666015625,0.642822265625,0.857177734375,0.35546875,0.64471435546875,0.855029296875,0.98046875,0.9853515625,1.0,0.59375,0.39502092355031015,0.453125,0.4603636142857389,10,36,primary_registered,0,0,0
adaptive_exploratory_posthoc_paired_support_intervention,38d34c25da87bdcc8283,23,original,4,8192,2048000,820,4,4,0.0625,85,0.89990234375,0.90234375,0.95947265625,0,raw-codeword patch,0.5973,1.0,0.599609375,0.5837725553498099,0.859375,0.8567705637609779,0.5822916666666667,0.5655726881223988,0.29119787563857913,0.39990234375,0.60009765625,0.89990234375,0.396484375,0.6014404296875,0.898095703125,0.982421875,0.982421875,1.0,0.4765625,0.5159984474269523,0.67578125,0.6515466632726675,10,36,triggered_refinement,0,0,0
adaptive_exploratory_posthoc_paired_support_intervention,49e1588d21ba13ef7430,23,original,6,8192,2048000,1230,6,5,0.078125,113,0.8916015625,0.89453125,0.97119140625,0,"modal 113, unstable",0.4351,1.0,0.43359375,0.4352322033909436,0.825,0.8053810639852712,0.4004237288135593,0.4038636558829497,0.4015174081023215,0.3583984375,0.6416015625,0.8583984375,0.3572998046875,0.6405029296875,0.8580078125,0.956787109375,0.978271484375,1.0,0.595703125,0.40699639465750015,0.462890625,0.46346801212438704,2,36,triggered_refinement,0,0,0
adaptive_exploratory_posthoc_paired_support_intervention,67d4ea2d1be261de00b6,23,original,8,8192,2048000,1640,8,7,0.109375,85,0.93212890625,0.9375,0.9755859375,0,pure Y,0.7178,1.0,0.728515625,0.7154987618081821,0.9017857142857143,0.8866540941366396,0.7072368421052632,0.6944796859081961,0.19217440822844356,0.43212890625,0.56787109375,0.93212890625,0.4317626953125,0.56787109375,0.9299560546875,0.971435546875,0.987060546875,1.0,0.326171875,0.6688450745016284,0.783203125,0.7621524491147358,2,36,triggered_refinement,1,0,0
adaptive_exploratory_posthoc_paired_support_intervention,01c5fce58e5119153511,23,original,10,8192,2048000,2050,10,9,0.140625,85,0.9189453125,0.92578125,0.96923828125,0,pure Y,0.6706,1.0,0.677734375,0.6701366017974931,0.7986111111111112,0.7840912550469707,0.6579545454545455,0.6514894767203058,0.13260177832666498,0.419921875,0.5810546875,0.9189453125,0.41748046875,0.58123779296875,0.9184326171875,0.991455078125,0.974609375,1.0,0.35546875,0.6316678874219149,0.7109375,0.7086053161730713,2,36,primary_registered,1,0,0
adaptive_exploratory_posthoc_paired_support_intervention,d02197a056a992920e2d,23,original,50,8192,2048000,10242,50,35,0.546875,85,1.0,1.0,1.0,0,pure Y,1.0,1.0,1.0,0.9985838947410814,1.0,0.9980238928567088,1.0,0.9992597590842898,-0.001235866227580984,0.5,0.5,1.0,0.5,0.5,1.0,0.960205078125,0.982421875,1.0,0.0,0.9980866086163552,1.0,0.9990811808658078,1,38,primary_registered,1,0,0
adaptive_exploratory_posthoc_paired_support_intervention,f5a65c1346f93dfff6ce,23,original,100,8192,2048000,20485,100,50,0.78125,85,0.999755859375,1.0,0.999755859375,0,pure Y,0.9997,1.0,1.0,0.9974886496947843,1.0,0.999239610117713,1.0,0.9912352196128967,0.008004390504816272,0.500244140625,0.500244140625,0.999755859375,0.500244140625,0.50042724609375,0.999755859375,0.963623046875,0.9248046875,1.0,0.0,0.9985226183539169,1.0,0.996454681035652,1,40,primary_registered,1,0,0
adaptive_exploratory_posthoc_paired_support_intervention,49c48f0f9f7f74c01898,23,original,250,8192,2048000,51205,250,64,1.0,85,0.992431640625,0.9921875,0.992919921875,0,pure Y,0.9959,0.998,0.998046875,0.9943828693339507,0.998046875,0.9943828693339507,,,,0.506591796875,0.507568359375,0.992431640625,0.50634765625,0.508056640625,0.9921875,0.953857421875,0.882568359375,0.999267578125,0.001953125,0.9952135809403345,0.998046875,0.9935521577275671,1,40,primary_registered,1,0,0
adaptive_exploratory_posthoc_paired_support_intervention,4bd8f927150fdb6f39c5,23,original,450,8192,2048000,92164,450,64,1.0,85,0.897216796875,0.91796875,0.945068359375,0,raw-codeword patch,0.981,0.97975,0.9814453125,0.9760756739395637,0.9814453125,0.9760756739395637,,,,0.593505859375,0.602294921875,0.897216796875,0.59375,0.60296630859375,0.89775390625,0.943359375,0.924072265625,0.99853515625,0.013671875,0.9826297086240348,0.9765625,0.9695216392550929,1,40,primary_registered,0,0,0
adaptive_exploratory_posthoc_paired_support_intervention,e41e3305a3cf9ba72470,37,original,0,8192,2048000,0,0,0,0.0,113,0.959716796875,0.9609375,0.989013671875,1,stable gate 113,0.1549,1.0,0.1611328125,0.17633740359130226,,,0.1611328125,0.17633740359130226,,0.290283203125,0.709716796875,0.790283203125,0.28955078125,0.71044921875,0.789404296875,0.99072265625,0.998046875,0.99853515625,0.810546875,0.20407481335565936,0.1328125,0.14859999382694516,,0,primary_registered,0,0,0
adaptive_exploratory_posthoc_paired_support_intervention,954e349a72145ba9697d,37,original,2,8192,2048000,409,2,2,0.03125,113,0.90380859375,0.8984375,0.9716796875,1,stable gate 113,0.3745,1.0,0.384765625,0.38367781352332575,0.875,0.8240110205576665,0.3689516129032258,0.369473516522218,0.4545375040354485,0.34619140625,0.65380859375,0.84619140625,0.3441162109375,0.65362548828125,0.8449462890625,0.995361328125,0.996337890625,1.0,0.591796875,0.4038523603091828,0.361328125,0.3635032667374687,21,39,primary_registered,0,0,0
adaptive_exploratory_posthoc_paired_support_intervention,f338bd47004d33a3fda0,37,original,4,8192,2048000,819,4,4,0.0625,113,0.90087890625,0.90234375,0.97412109375,1,stable gate 113,0.3765,1.0,0.396484375,0.38971668370845297,0.84375,0.8062293060008047,0.36666666666666664,0.36194917555562955,0.4442801304451751,0.34912109375,0.65087890625,0.84912109375,0.345703125,0.6522216796875,0.84638671875,0.987548828125,0.994873046875,0.999755859375,0.568359375,0.4183187038111571,0.361328125,0.36111466360574884,11,39,triggered_refinement,0,0,0
adaptive_exploratory_posthoc_paired_support_intervention,9eab9e775b4b91741c0c,37,original,6,8192,2048000,1229,6,6,0.09375,81,0.88720703125,0.88671875,0.97216796875,0,raw-codeword patch,0.4686,1.0,0.4873046875,0.4844383983966647,0.8125,0.7936577488921083,0.4536637931034483,0.4524501897247223,0.341207559167386,0.3720703125,0.62841796875,0.87158203125,0.3685302734375,0.631103515625,0.8685546875,0.982177734375,0.9873046875,1.0,0.462890625,0.5300501105972439,0.4375,0.43882668619608545,11,39,triggered_refinement,0,0,0
adaptive_exploratory_posthoc_paired_support_intervention,4615ea9aee7abbe82785,37,original,8,8192,2048000,1637,8,8,0.125,85,0.9140625,0.91796875,0.978515625,0,pure Y,0.655,1.0,0.65625,0.6454489022804228,0.953125,0.9060503762597899,0.6138392857142857,0.6082201202833704,0.29783025597641954,0.4140625,0.5859375,0.9140625,0.411865234375,0.58575439453125,0.913232421875,0.979736328125,0.99072265625,1.0,0.345703125,0.6438807007645749,0.658203125,0.6470171037962708,11,39,triggered_refinement,1,0,0
adaptive_exploratory_posthoc_paired_support_intervention,7724cf6ab09483eaa43b,37,original,10,8192,2048000,2047,10,10,0.15625,85,0.95361328125,0.9609375,0.98291015625,0,pure Y,0.8221,1.0,0.814453125,0.7900336698347946,1.0,0.9707384363914283,0.7800925925925926,0.7565698241761588,0.2141686122152695,0.45361328125,0.54638671875,0.95361328125,0.452880859375,0.545654296875,0.953466796875,0.989501953125,0.990478515625,1.0,0.205078125,0.7745664094566672,0.833984375,0.8055009302129221,5,39,primary_registered,1,0,0
adaptive_exploratory_posthoc_paired_support_intervention,e57450260a8d07f43d4f,37,original,50,8192,2048000,10240,50,31,0.484375,85,1.0,1.0,1.0,0,pure Y,0.9998,1.0,1.0,0.9977259859322356,1.0,0.9996063591639281,1.0,0.995959574714585,0.003646784449343188,0.5,0.5,1.0,0.5,0.50006103515625,0.9999755859375,1.0,0.98486328125,1.0,0.0,0.9987218271941815,1.0,0.9967301446702898,1,40,primary_registered,1,0,0
adaptive_exploratory_posthoc_paired_support_intervention,2f5dbd9ef44b6571a38e,37,original,100,8192,2048000,20481,100,51,0.796875,85,1.0,1.0,1.0,0,pure Y,1.0,1.0,1.0,0.9998215275198918,1.0,0.9998511117834914,1.0,0.9997054661780785,0.00014564560541285854,0.5,0.5,1.0,0.5,0.5,1.0,0.995849609375,0.95556640625,1.0,0.0,0.9998164384356778,1.0,0.9998266166041062,1,40,primary_registered,1,0,0
adaptive_exploratory_posthoc_paired_support_intervention,d2104dae0220354ecdf2,37,original,250,8192,2048000,51199,250,63,0.984375,85,1.0,1.0,1.0,0,pure Y,1.0,1.0,1.0,0.9999735939998546,1.0,0.9999733091045234,1.0,0.9999915424057122,-1.8233301188774753e-05,0.5,0.5,1.0,0.5,0.5,1.0,0.9658203125,0.959716796875,1.0,0.0,0.9999771440293893,1.0,0.9999700439703199,1,40,primary_registered,1,0,0
adaptive_exploratory_posthoc_paired_support_intervention,5dc1c45a2d04159a99a5,37,original,450,8192,2048000,92154,450,64,1.0,85,0.981201171875,0.99609375,0.982177734375,0,pure Y,1.0,0.99625,1.0,0.999357792218052,1.0,0.999357792218052,,,,0.518798828125,0.518798828125,0.981201171875,0.5185546875,0.51861572265625,0.981591796875,0.97998046875,0.928466796875,1.0,0.0,0.9995404215959243,1.0,0.9991751628401797,1,40,primary_registered,1,0,0
adaptive_exploratory_posthoc_paired_support_intervention,fb693c9f245649223569,41,original,0,8192,2048000,0,0,0,0.0,113,0.968017578125,0.98046875,0.975830078125,1,stable gate 113,0.1172,1.0,0.1240234375,0.14713195802323462,,,0.1240234375,0.14713195802323462,,0.281982421875,0.719970703125,0.780029296875,0.2818603515625,0.72137451171875,0.7791259765625,0.993408203125,0.99169921875,1.0,0.80078125,0.21060954596836234,0.048828125,0.08365437007810689,,0,primary_registered,0,0,0
adaptive_exploratory_posthoc_paired_support_intervention,c0c18d39b51c20fcf127,41,original,2,8192,2048000,409,2,2,0.03125,113,0.90673828125,0.90625,0.96728515625,1,stable gate 113,0.378,1.0,0.373046875,0.3783919725362216,0.6875,0.6492412468489414,0.3629032258064516,0.3696548991712951,0.27958634767764623,0.34326171875,0.65673828125,0.84326171875,0.344482421875,0.65643310546875,0.8427001953125,0.998046875,0.9736328125,1.0,0.51171875,0.4828086885436409,0.2578125,0.27397525652880234,9,11,primary_registered,0,0,0
adaptive_exploratory_posthoc_paired_support_intervention,165a87d50d3fe778d5d3,41,original,4,8192,2048000,818,4,4,0.0625,85,0.908447265625,0.9140625,0.968994140625,0,pure Y,0.6341,1.0,0.6337890625,0.6317694335600081,0.9375,0.9078418893662055,0.6135416666666667,0.6133646031729284,0.29447728619327707,0.408447265625,0.591552734375,0.908447265625,0.4083251953125,0.5911865234375,0.9080810546875,0.998046875,0.959228515625,1.0,0.3125,0.6855576127807235,0.580078125,0.5779812543392927,1,11,triggered_refinement,1,0,0
adaptive_exploratory_posthoc_paired_support_intervention,5ad17c55f43bfd98a72a,41,original,6,8192,2048000,1227,6,6,0.09375,85,0.939208984375,0.94140625,0.973876953125,0,pure Y,0.7414,1.0,0.7568359375,0.7338194680189517,0.9791666666666666,0.9336125918446113,0.7338362068965517,0.7131512138300904,0.22046137801452093,0.439208984375,0.560791015625,0.939208984375,0.438232421875,0.562255859375,0.9377685546875,0.99609375,0.969970703125,0.999755859375,0.1875,0.7836615510646996,0.701171875,0.6839773849732037,1,34,triggered_refinement,1,0,0
adaptive_exploratory_posthoc_paired_support_intervention,450d335991558af606b7,41,original,8,8192,2048000,1637,8,8,0.125,85,0.970703125,0.9765625,0.986328125,0,pure Y,0.8657,1.0,0.8828125,0.8546606227059548,0.9765625,0.9474375590502281,0.8694196428571429,0.8414067746567728,0.10603078439345526,0.470703125,0.529296875,0.970703125,0.46826171875,0.53118896484375,0.969091796875,0.97509765625,0.9853515625,1.0,0.06640625,0.8988794440778095,0.83203125,0.8104418013341002,1,34,triggered_refinement,1,0,0
adaptive_exploratory_posthoc_paired_support_intervention,493b2e1699119e315f8e,41,original,10,8192,2048000,2046,10,10,0.15625,85,0.956298828125,0.96875,0.969482421875,0,pure Y,0.8262,0.9995,0.8369140625,0.8066602731528556,0.925,0.8997892296086025,0.8206018518518519,0.7894141701054951,0.11037505950310744,0.462158203125,0.543701171875,0.956298828125,0.4610595703125,0.5450439453125,0.9554443359375,0.9853515625,0.9375,1.0,0.150390625,0.8192160215067298,0.82421875,0.7941045247989814,1,34,primary_registered,1,0,0
adaptive_exploratory_posthoc_paired_support_intervention,5e59d3c7b735f6d8985a,41,original,50,8192,2048000,10235,50,39,0.609375,85,0.999755859375,1.0,0.999755859375,0,pure Y,0.9999,1.0,0.9990234375,0.994856988450165,1.0,0.9975334352803427,0.9975,0.9906817313950879,0.006851703885254801,0.499755859375,0.500244140625,0.999755859375,0.4998779296875,0.50018310546875,0.9998779296875,0.9853515625,0.942626953125,1.0,0.0,0.9962587628305515,0.998046875,0.9934552140697785,1,38,primary_registered,1,0,0
adaptive_exploratory_posthoc_paired_support_intervention,16deced2ff91aa931b2e,41,original,100,8192,2048000,20472,100,54,0.84375,85,1.0,1.0,1.0,0,pure Y,1.0,1.0,1.0,0.999635023355846,1.0,0.9997178737425572,1.0,0.9991876312676059,0.0005302424749512591,0.5,0.5,1.0,0.5001220703125,0.50006103515625,0.9999755859375,0.907958984375,0.924072265625,1.0,0.0,0.9997650320669965,1.0,0.9995050146446954,1,40,primary_registered,1,0,0
adaptive_exploratory_posthoc_paired_support_intervention,0710f7df0d86d4de0b6b,41,original,250,8192,2048000,51197,250,64,1.0,85,0.99951171875,1.0,0.99951171875,0,pure Y,1.0,1.0,1.0,0.9995369249397014,1.0,0.9995369249397014,,,,0.50048828125,0.50048828125,0.99951171875,0.50048828125,0.50048828125,0.9994873046875,0.98291015625,0.907958984375,1.0,0.0,0.9995211340455018,1.0,0.9995527158339009,1,40,primary_registered,1,0,0
adaptive_exploratory_posthoc_paired_support_intervention,a69df8e213813f93d364,41,original,450,8192,2048000,92159,450,64,1.0,87,0.88037109375,0.90234375,0.93408203125,0,raw-codeword patch,0.9741,0.97475,0.9775390625,0.9711325757538033,0.9775390625,0.9711325757538033,,,,0.615234375,0.62451171875,0.87353515625,0.611572265625,0.6243896484375,0.87646484375,0.967529296875,0.918212890625,0.998291015625,0.017578125,0.9739338849479623,0.97265625,0.9683312665596444,1,40,primary_registered,0,0,0
adaptive_exploratory_posthoc_paired_support_intervention,8a7cdedad707f334e09d,53,original,0,8192,2048000,0,0,0,0.0,113,0.962890625,0.96484375,0.984375,1,stable gate 113,0.1552,1.0,0.1484375,0.16180494150054547,,,0.1484375,0.16180494150054547,,0.287109375,0.712890625,0.787109375,0.288818359375,0.7122802734375,0.787744140625,0.9873046875,0.99072265625,0.99951171875,0.93359375,0.08977423161506093,0.23046875,0.23383565138603005,,0,primary_registered,0,0,0
adaptive_exploratory_posthoc_paired_support_intervention,d97767e4191783b2ae1a,53,original,2,8192,2048000,409,2,2,0.03125,113,0.95703125,0.96875,0.97998046875,1,stable gate 113,0.1827,1.0,0.171875,0.18421818354057418,0.71875,0.6500386503515613,0.15423387096774194,0.169191716869252,0.4808469334823093,0.29296875,0.70703125,0.79296875,0.2935791015625,0.70465087890625,0.794189453125,0.9833984375,0.992431640625,0.98974609375,0.765625,0.24211022201653687,0.109375,0.12632614506461143,4,30,primary_registered,0,0,0
adaptive_exploratory_posthoc_paired_support_intervention,fb50c7c2cea72d4fb2a7,53,original,4,8192,2048000,818,4,4,0.0625,117,0.8759765625,0.875,0.974609375,0,raw-codeword patch,0.5007,1.0,0.49609375,0.5119132051460309,0.984375,0.9461709204398735,0.4635416666666667,0.48296269079310805,0.46320822964676545,0.3740234375,0.6259765625,0.8740234375,0.374755859375,0.62548828125,0.8737548828125,0.983642578125,0.994140625,1.0,0.5078125,0.5158128457461449,0.5,0.5080135645459168,4,34,triggered_refinement,0,0,0
adaptive_exploratory_posthoc_paired_support_intervention,9976adc57d95b55f0d1e,53,original,6,8192,2048000,1228,6,6,0.09375,85,0.95703125,0.96484375,0.97998046875,0,pure Y,0.8278,1.0,0.828125,0.8152909369683663,0.9895833333333334,0.9797738472013139,0.8114224137931034,0.7982754634959924,0.18149838370532145,0.45703125,0.54296875,0.95703125,0.457275390625,0.54095458984375,0.956787109375,0.97705078125,0.990478515625,1.0,0.109375,0.8592650593308853,0.765625,0.7713168146058473,3,39,triggered_refinement,1,0,0
adaptive_exploratory_posthoc_paired_support_intervention,367c46842286d73e50d1,53,original,8,8192,2048000,1638,8,8,0.125,85,0.9658203125,0.9765625,0.97802734375,0,pure Y,0.8622,1.0,0.86328125,0.8505357363396275,0.984375,0.9669000613385286,0.8459821428571429,0.8339122613397846,0.132987799998744,0.4658203125,0.5341796875,0.9658203125,0.466064453125,0.53387451171875,0.965771484375,0.98095703125,0.99267578125,1.0,0.130859375,0.8598775525353459,0.857421875,0.8411939201439094,3,39,triggered_refinement,1,0,0
adaptive_exploratory_posthoc_paired_support_intervention,f881e764e6788460b68a,53,original,10,8192,2048000,2047,10,10,0.15625,85,0.944580078125,0.93359375,0.968994140625,0,pure Y,0.7686,1.0,0.7783203125,0.7582975621074777,0.975,0.9461724437702796,0.7418981481481481,0.723505917355107,0.2226665264151726,0.444580078125,0.555419921875,0.944580078125,0.443359375,0.556396484375,0.94365234375,0.981201171875,0.98779296875,1.0,0.173828125,0.8050369419613681,0.73046875,0.7115581822535874,3,39,primary_registered,1,0,0
adaptive_exploratory_posthoc_paired_support_intervention,0c24effdecee5cf9b37d,53,original,50,8192,2048000,10243,50,39,0.609375,85,0.997802734375,1.0,0.997802734375,0,pure Y,0.9966,1.0,0.9951171875,0.9915258023631244,1.0,0.9976791042951941,0.9875,0.9819266513490956,0.015752452946098505,0.499755859375,0.502197265625,0.997802734375,0.4996337890625,0.5018310546875,0.99814453125,0.989501953125,0.929931640625,1.0,0.0,0.9975544078391659,0.990234375,0.9854971968870829,1,40,primary_registered,1,0,0
adaptive_exploratory_posthoc_paired_support_intervention,93f4197fdb8f7e394d50,53,original,100,8192,2048000,20481,100,53,0.828125,85,1.0,1.0,1.0,0,pure Y,1.0,1.0,1.0,0.9997656344300758,1.0,0.9998366005748343,1.0,0.9994237066416948,0.00041289393313947986,0.5,0.5,1.0,0.5,0.5,1.0,0.937744140625,0.91845703125,1.0,0.0,0.9998303004387513,1.0,0.9997009684214005,1,40,primary_registered,1,0,0
adaptive_exploratory_posthoc_paired_support_intervention,3d65013a0d575bff1eae,53,original,250,8192,2048000,51204,250,63,0.984375,85,1.0,1.0,1.0,0,pure Y,1.0,1.0,1.0,0.9998850200733519,1.0,0.999883256386972,1.0,0.9999961323152844,-0.0001128759283124392,0.5,0.5,1.0,0.5,0.5,1.0,0.989013671875,0.943359375,1.0,0.0,0.9998749059176548,1.0,0.999895134229049,1,40,primary_registered,1,0,0
adaptive_exploratory_posthoc_paired_support_intervention,b5a2639b790ea4f85449,53,original,450,8192,2048000,92168,450,63,0.984375,85,0.996826171875,1.0,0.996826171875,0,pure Y,1.0,0.9995,1.0,0.9996950539762561,1.0,0.9996923557859049,1.0,0.9998650399683922,-0.00017268418248728157,0.503173828125,0.503173828125,0.996826171875,0.502685546875,0.5029296875,0.9966796875,0.96533203125,0.966064453125,1.0,0.0,0.999618381662897,1.0,0.9997717262896155,1,40,primary_registered,1,0,0
adaptive_exploratory_posthoc_paired_support_intervention,c3a0ceb1fb56fb83920f,67,original,0,8192,2048000,0,0,0,0.0,113,0.999755859375,1.0,0.999755859375,1,stable gate 113,0.0,1.0,0.0,0.000245928409346169,,,0.0,0.000245928409346169,,0.250244140625,0.750244140625,0.749755859375,0.2503662109375,0.7503662109375,0.749609375,0.99267578125,0.997802734375,0.948486328125,1.0,0.0004627220006848676,0.0,2.9134818007440893e-05,,0,primary_registered,0,0,0
adaptive_exploratory_posthoc_paired_support_intervention,a80cfdfd1d697cf59f6c,67,original,2,8192,2048000,410,2,2,0.03125,113,0.980712890625,0.98046875,0.995361328125,1,stable gate 113,0.0765,0.9995,0.0771484375,0.08134739027740884,0.125,0.12310807493069968,0.07560483870967742,0.08000027141762528,0.0431078035130744,0.269287109375,0.730712890625,0.769287109375,0.2689208984375,0.73101806640625,0.7689208984375,0.986083984375,0.98388671875,0.97216796875,0.84765625,0.14944092284496568,0.001953125,0.013253857709852062,10,34,primary_registered,0,0,0
