algorithm,entropy,budget,requested_budget,rho_y,train_rho_y
on_policy_imitation,8,1,1,0.4665,0.5276
trajectory_sft,2,1,1,0.5003,0.5
rl,4,4,4,0.2811,0.657
rl,4,16,16,0.1239,0.8235
clean_sft,8,4,4,0.2804,0.6857
rl,2,5897,full,0.0,0.9
clean_sft,2,16,16,0.0912,0.8409
clean_sft,0,16,16,0.0868,0.8617
clean_sft,0,1024,1024,1.0,1.0
trajectory_sft,8,16,16,0.2218,0.72
trajectory_sft,2,16,16,0.1477,0.7886
on_policy_imitation,8,256,256,0.1145,0.8623
trajectory_sft,0,4,4,0.3541,0.6332
clean_sft,0,64,64,0.0,0.9
rl,4,5897,full,0.0,0.9
clean_sft,4,256,256,0.8139,0.9854
rl,2,1,1,0.4363,0.5285
on_policy_imitation,0,1,1,0.6504,0.3965
trajectory_sft,0,5897,full,1.0,1.0
on_policy_imitation,2,1,1,0.3979,0.611
on_policy_imitation,2,1024,1024,0.9422,0.9931
trajectory_sft,2,64,64,0.0,0.9
clean_sft,8,256,256,0.0778,0.9105
trajectory_sft,2,256,256,0.0008,0.9
clean_sft,0,64,64,0.0002,0.8999
rl,0,1024,1024,0.0,0.9
trajectory_sft,0,64,64,0.0,0.8995
on_policy_imitation,4,256,256,0.3729,0.8061
on_policy_imitation,2,16,16,0.2258,0.7213
clean_sft,0,256,256,0.8139,0.9854
on_policy_imitation,4,256,256,0.151,0.864
clean_sft,0,256,256,0.0778,0.9105
